Date,Open,High,Low,Close
07-04-2020,7273.644043,7427.939453,7136.714355,7176.414551
08-04-2020,7179.283203,7356.223633,7153.305664,7334.098633
09-04-2020,7337.966309,7341.448242,7179.094238,7302.089355
10-04-2020,7303.81543,7303.81543,6802.475098,6865.493164
11-04-2020,6867.44043,6926.069824,6789.920898,6859.083008
12-04-2020,6858.067871,7119.947266,6811.078125,6971.091797
13-04-2020,6965.616699,6965.616699,6668.259766,6845.037598
14-04-2020,6843.281738,6958.557129,6793.821289,6842.427734
15-04-2020,6845.561523,6928.664551,6633.402832,6642.109863
16-04-2020,6640.454102,7134.450684,6555.504395,7116.804199
17-04-2020,7116.552734,7167.183105,7050.332031,7096.18457
18-04-2020,7092.291504,7269.956543,7089.24707,7257.665039
19-04-2020,7260.922363,7280.521973,7167.054688,7189.424805
20-04-2020,7186.873535,7240.290527,6835.50293,6881.958496
21-04-2020,6879.78418,6934.551758,6834.442383,6880.323242
22-04-2020,6879.44043,7145.865723,6867.781738,7117.20752
23-04-2020,7121.306152,7491.785156,7081.594727,7429.724609
24-04-2020,7434.181641,7574.195801,7434.181641,7550.900879
25-04-2020,7550.48291,7641.36377,7521.672363,7569.936035
26-04-2020,7570.13916,7700.594238,7561.407715,7679.867188
27-04-2020,7679.418945,7795.601074,7679.418945,7795.601074
28-04-2020,7796.970215,7814.527344,7730.806641,7807.058594
29-04-2020,7806.712402,8871.753906,7786.049316,8801.038086
30-04-2020,8797.669922,9440.650391,8533.255859,8658.553711
01-05-2020,8672.782227,9048.023438,8667.763672,8864.766602
02-05-2020,8869.057617,9007.1875,8811.366211,8988.59668
03-05-2020,8983.614258,9167.78125,8830.97168,8897.46875
04-05-2020,8895.745117,8956.90625,8645.024414,8912.654297
05-05-2020,8912.832031,9062.415039,8856.827148,9003.070313
06-05-2020,9007.441406,9411.467773,8966.706055,9268.761719
07-05-2020,9261.895508,9992.664063,9138.322266,9951.518555
08-05-2020,9936.162109,9996.743164,9767.172852,9842.666016
09-05-2020,9840.90625,9913.863281,9580.644531,9593.896484
10-05-2020,9591.168945,9595.581055,8395.107422,8756.430664
11-05-2020,8755.535156,9033.470703,8374.323242,8601.795898
12-05-2020,8610.385742,8949.898438,8569.643555,8804.477539
13-05-2020,8805.387695,9317.878906,8805.387695,9269.987305
14-05-2020,9271.329102,9793.268555,9255.035156,9733.72168
15-05-2020,9734.291016,9755.828125,9261.398438,9328.197266
16-05-2020,9333.240234,9564.205078,9260.694336,9377.013672
17-05-2020,9374.929688,9823.001953,9349.545898,9670.739258
18-05-2020,9675.695313,9906.030273,9570.359375,9726.575195
19-05-2020,9727.063477,9836.047852,9539.624023,9729.038086
20-05-2020,9725.329102,9804.793945,9447.201172,9522.981445
21-05-2020,9522.740234,9555.242188,8869.930664,9081.761719
22-05-2020,9080.334961,9232.936523,9008.638672,9182.577148
23-05-2020,9185.0625,9302.501953,9118.108398,9209.287109
24-05-2020,9212.283203,9288.404297,8787.250977,8790.368164
25-05-2020,8786.107422,8951.005859,8719.667969,8906.93457
26-05-2020,8909.585938,8991.967773,8757.293945,8835.052734
27-05-2020,8837.380859,9203.320313,8834.157227,9181.017578
28-05-2020,9184.945313,9546.319336,9148.457031,9525.750977
29-05-2020,9528.355469,9573.666992,9379.338867,9439.124023
